,Unnamed: 0,Unnamed: 0.1,id,counter,accuracy,bearing,speed,header_id,series_id,year,X,Y,new_datetime,stop_nr,date,time,color,altitude
3717,34134,34134,649505548,411138,96,269509.0,0.404756,227909945,1042,2018,-121.901372624454,36.6147408891436,2018-05-03 17:14:00,152285,2018-05-03,17:14:00,#ff9719,-105
1795,108290,108290,646455503,235216,6,,0.0,226347114,1042,2018,-118.178923312659,37.3853762610909,2018-04-27 00:58:00,75019,2018-04-27,00:58:00,#f9824b,3067
